,,,,SEMANTICS,SEMANTICS,SEMANTICS,SEMANTICS,INTONATION (?),SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,,,,STRUCTURAL PROPERTIES,STRUCTURAL PROPERTIES,STRUCTURAL PROPERTIES,STRUCTURAL PROPERTIES
590,NP-Nom VP NP-Acc NP-Ins,Он поставил своего ученика подсобником,,Characteristics,Categorisation,,Temporary state,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
591,NP-Nom VP NP-Acc VP-Inf,он достал деньги поехать на юг,"Добавить в описание конструкции характеристику одушевленности объекта: при неодуш. объекте Purpose, при одуш. Causation Конструкция обозначает, что [субъект]Agent совершает [какое-либо действие]Action с [целью достижения результата/цели]Goal EXAMPLES: [ [Папа]Agent [взял]Action [нож]Theme [порезать]Goal]NP-Nom_VP_NP-Acc_VP-Inf колбасу PURPOSE but in Время от времени [ [Людмила]Agent [звала]Action [свекровь]Theme [переехать]Goal]NP-Nom_VP_NP-Acc_VP-Inf к старшему сыну CAUSATION",Activity,Purpose,,Causation,,Light verb / Verb pattern,,,,,,,,,,Verb pattern,,Light verb,,,,,,,,
592,NP-Nom VP NP-Dat,Он смеялся чужой беде,"Конструкция обозначает, что [субъект]Experiencer [испытывает]Action какие-либо эмоции по отношению к [действиям]Theme других участников ситуации. [улыбался]Action [шутке]Theme]",Activity,Attitude,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
593,NP-Nom VP NP-Ins.Plur NP-Acc,Она скупала мешками картошку в магазине,"Конструкция обозначает, что субъект совершает какое-либо действие [в больших количествах]Theme. Такое [количество]Parameter выражается следующими параметрами: [тонна]Parameter, [мешок]Parameter, [пачка]Parameter и подобное.  [съедал]Action [тоннами]Parameter [ [ эти вкусные конфеты]T",Activity,Intensity,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
594,NP-Nom VP-Inf не дурак,он говорить не дурак,Конструкция имеет ироническую коннотацию.,Characteristics,Assessment,,,,Praedic,,,,Praedic,,,,,,,,,,,,,Negation,Negation,,
595,NP-Nom VP-Inf(-то) VP но Cl,"спросить спрошу, но он может не знать","Конструкция обозначает, что [некоторый участник]Agent готов сделать что-либо, но считает это ненужным/безуспешным или проявляет неуверенность в благоприятном исходе.",Activity,Concession,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,Reduplication,,Reduplication,
596,"NP-Nom VP-Past было, но Cl","я пошел было на работу, но передумал",,Activity,Antiresultative,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,,,,,,,,
597,NP-Nom VP-VP а не Cl,"я его просил-просил, а он не соглашается",,Activity,Continuation,,Intensity,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,Reduplication,,Reduplication,
598,NP-Nom VP-VP и Cl,шёл-шёл и увидел красивый дом,,Activity,Continuation,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,Reduplication,,Reduplication,
599,"NP-Nom VP, не то что NP-Nom","Он был настоящим другом, не то что твой брат","бывает еще ""не то что Adj""",Characteristics,Comparison,,,,Conj,,,,,,,,Conj,,,,,,,,,Negation,Negation,,
600,"NP-Nom, конечно, NP-Nom, что Cl","я, конечно, дурак, что послушался тебя",,Characteristics,Assessment,,,,Matrix,,,Matrix,,,,,,,,,,,,,,,,,
601,NP-Nom.Plur в один голос-Acc VP,Все в один голос вскрикнули от ужаса,,Activity,Manner,,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
602,NP-Plur и всё такое,разные идеалы и всё такое,,Characteristics,Similarity,Sameness,,Assertive,Clause,Clause,,,,,,,,,,,,,,,,,,,
603,NP-Plur один другой-Gen Adj-Cmp,Девочки одна другой стройнее,,Characteristics,Comparison,,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
604,"NP, да и только","Страсти, да и только!",,Discourse,Intensity,High,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
605,Num (NP-Gen) с копейками,прошло 100 дней с копейками,,Characteristics,Approximation,,Measure,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
606,Num-Ins Num-Nom ― Num-Nom,шестью пять ― тридцать,Family woth 607. Конструкция используется для выражения математическое операции умножения [одного числа]Factor на [другое]Number с указанием [результата]Result (произведения).,Characteristics,Counting,,Sameness,Assertive,Clause,Clause,,,,,,,,,,,,,,,,,,,
607,Num-Nom на Num-Acc ― Num-Nom,семь на восемь ― пятьдесят шесть,Family woth 606. Конструкция используется для выражения математическое операции умножения [одного числа]Factor на [другое]Number с указанием [результата]Result (произведения). SEE TYPO IN DESCRIPTION,Characteristics,Counting,,Sameness,Assertive,Clause,Clause,,,,,,,,,,,,,,,,,,,
608,Pron Adv VP,мы вдвоем играли во дворе,,Activity,Measure,,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
609,PRON-Dat NP-Dat Adv,мне ушам холодно,,Characteristics,Temporary state,,,,Praedic,,,,Praedic,,,,,,,,,,,,,,,,
610,Pron-Gen только нет NP-Loc!,на ярмарке чего только нет!,,Characteristics,Measure,High,Intensity,,Praedic,,,,Praedic,,,,,,,,,,,,,Negation,Negation,,
611,PRON-Nom ещё VP-Fut,ты меня ещё вспомнишь,Think about similarity of 611 and 613,Activity,Threat,,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
612,Pron-Nom же NP-Nom,он же мальчик,,Discourse,Emphasis,,,,Part,,,,,,,,,,Part,,,,,,,,,,
613,Pron-Nom у меня VP-Fut.Perf,ты у меня попляшешь,Think about similarity of 611 and 613,Activity,Threat,,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
614,Pron-Nom Pron-Dat дать VP-Inf!,Я тебе дам так себя вести!,"Нет в списке, но еще существует Pro_Pro-Dat_дам_Inf ",Activity,Threat,,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
615,S вот ещё!,Да ты влюблена в него! - Вот ещё!,"Equals ""No""",Discourse,Reaction to the previous discourse,,Attitude,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
616,S ещё бы (S)!,Хочешь чаю? Ещё бы!,"Equals ""Yes"" Конструкция обозначает, что говорящий принимает положительный или позитивный ответ на какое-то [предложение]Situation или подтверждает слова другого участника и по поводу которого он может привести [дополнительные аргументы]Theme. EXAMPLE [ [-Да захочет ли он прийти к нам?]Situation — [Ещё]ещё [бы]бы! [Он очень будет рад.]Theme ]S_ещё_бы_(S)!",Discourse,Reaction to the previous discourse,,Intensity,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
617,S разве что Cl,"сегодня не поеду, разве что завтра",,Discourse,Degree of certainty,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
618,SCONJ угодно,Вася попросил купить что угодно,"Конструкция выражает неопределенность автора в выборе [кого-либо, чего-либо, времени, места или образа действия]Theme . Говорящий допускает любой вариант.",Characteristics,Categorisation,,,,Part,,,,,,,,,,Part,,,,,,,,,,
619,VP ― и будь здоров,Миша забрал книгу ― и будь здоров,,Activity,Unexpected outcome,,,Assertive,Clause,Clause,,,,,,,,,,,,,,,,,,,
620,VP без конца,родители ругались без конца,,Activity,Time,,Intensity,,Adv,,,,,,,Adv,,,,,,,,,,,,,
621,VP в качестве NP-Gen,Она не рассматривала его в качестве,,Characteristics,Categorisation,,,,Conj,,,,,,,,Conj,,,,,,,,,,,,
622,VP в соответствии с NP-Ins,он становится новым президентом компании в соответствии с новыми документами,,Discourse / Activity,Source of information,,Manner,,Prep,,,,,,,,,Prep,,,,,,,,,,,
623,VP в NUM раз-Gen,увеличиться в четыре раза,"Конструкция обозначает, что [какое-либо действие]Action происходит несколько раз или с разной интенсивностью. -> about Activity, Key role of VP",Activity,Measure,,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
624,VP всё-таки,Он пришел всё-таки на её свадьбу,,Activity,Unexpected outcome,,,,Part,,,,,,,,,,Part,,,,,,,,,,
625,VP до конца,отстаивала свою позицию до конца,,Activity,Time,,Intensity,,Adv,,,,,,,Adv,,,,,,,,,,,,,
626,VP до конца,доделать работу до конца,,Activity,Result,,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
627,VP же NP!,живут же некоторые,"Конструкция обозначает, что говорящий выражает некоторую зависть, ревность [тому]Theme/ [тем]Theme, кто добился определенных [успехов]Event, [удачлив]Event или [счастлив]Event. ",Characteristics,Attitude,,,,Part,,,,,,,,,,Part,,,,,,,,,,
628,VP как можно Adv-Comp,Пиши как можно чаще,соединить с 146,Activity,Intensity,,Comparison,,Adv,,,,,,,Adv,,,,,,,,,,,,,
629,VP как надо,отец готовил яичницу как надо,,Activity,Assessment,Positive,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
630,VP как ни в чём не бывало,он работал как ни в чём не бывало,,Activity,Attitude,,,,Adv,,,,,,,Adv,,,,,,,,,,Negation,Negation,,
631,VP как следует,он работал как следует,,Activity,Assessment,Positive,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
632,VP лучше/не хуже Pron-Gen,знаю лучше вашего,,Characteristics,Comparison,,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
633,VP на раз,настоящий мастер может изготовить обувь на раз,,Activity,Manner,,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
634,VP по принципу NP-Gen,на конкурсе отбирают победителя по принципу зрительского голосования,"Конструкция выражает способ, который используется при выполнении [некоторого действия]Action . Это аналогия, которая помогает адресату понять, [какой стандарт]Standard лежит в основе процесса. EXAMPLE [Большинство детских школ строится]Action [по]по [принципу]принципу [лагерей]Standard",Activity,Manner,,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
635,VP под NP-Acc,танцевать под музыку,,Activity,Manner,,,,Prep,,,,,,,,,Prep,,,,,,,,,,,
636,VP под NP-Acc,Она вернулась под утро,,Activity,Time,,,,Prep,,,,,,,,,Prep,,,,,,,,,,,
637,VP себе,Идет себе,"Опечатки исправлены, дефиниция откорректирована.",Activity,Manner,,,,Part,,,,,,,,,,Part,,,,,,,,,,
638,VP себе (и) VP,я стою себе думаю,,Activity,Continuation,,,Assertive,Clause,Clause,,,,,,,,,,,,,,,,,,,
639,VP так себе,на пианино играю так себе,,Characteristics,Assessment,,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
640,VP что ли?,поесть что ли?,,Activity,Causation,Indirect,,Interrogative,Clause,Clause,,,,,,,,,,,,,,,,,,,
641,VP что ни попадя,Ваня ел что ни попадя,Конструкция используется для негативной оценки действий [участника]Participant.,Characteristics,Assessment,Negative,Condition,Assertive,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
642,VP NP-Acc из ничего,смастерил шкатулку из ничего,,Activity,Instrument,,,,Adv,,,,,,,Adv,,,,,,,,,,Negation,Negation,,
643,VP NP-Gen на Num-Acc,они уехали на дачу дня на два,,Characteristics,Measure,Time,Approximation,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,Inversion,,,Inversion
644,VP NP-Gen через Num-Acc,он хочет купить машину года через два,,Characteristics,Approximation,Time,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,Inversion,,,Inversion
645,VP NP-Ins,Мы готовили обед всей семьей,"Inclusivity? Конструкция означает, что участник выполнял [действия]Action в составе [какой-либо группы]Participant.",Activity,Manner,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
646,VP NP-Nom наконец (или нет)?,починит он наконец компьютер?,"Конструкция с риторическим вопросом выражает крайную степень недовольства или нетерпения говорящего тем, что [кто-либо ]Agent не сделал [что-либо]Action, что от него давно ожидали/ждут.",Activity,Causation,Indirect,Attitude,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
647,VP SCONJ попало,Вася шлет письма кому попало,"Конструкция выражает негативное [отношение]Action к [объектам]Theme, [участникам]Theme, [месту]Theme , [времени]Theme или [образу действия]Theme, которые выбрал основной участник.",Activity,Assessment,Negative,Manner,,Part,,,,,,,,,,Part,,,,,,,,,,
648,VP-Imp одно и то же,писал он всегда одно и то же,"Конструкция означает, что [участник]Participant много раз повторяет [одинаковое действие]Action",Characteristics,Categorisation,Sameness,,Assertive,Clause,Clause,,,,,,,,,,,,,,,,,,,
649,VP-Imp почём зря,Паша ругается почём зря каждый день,,Activity,Assessment,Negative,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
650,VP-Imper – не хочу,"здесь столько вина, пей – не хочу",,Characteristics,Intensity,High,Measure,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
651,VP-Imper давай,ешь давай!,,Activity,Causation,Direct,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
652,VP-Imper ещё (мне/(у) меня),Разговаривай ещё,,Activity,Threat,,Prohibition,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
653,VP-Imper не VP-Imper а Cl,"плачь-не плачь, а прошлого не вернуть",,Activity,Concession,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,Reduplication and Negation ,Negation,Reduplication,
654,VP-Imper себе,помалкивай себе,,Activity,Causation,Direct,Attitude,,Part,,,,,,,,,,Part,,,,,,,,,,
655,VP-Imper NP-Nom бы VP-Past,"Преподавай она в школе, все бы были отличниками",,Activity,Condition,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,,,,,,,,
656,"VP-Imper, а (не то) VP-Perf.Fut","поспеши, а не то опоздаешь на экзамен",,Activity,Causation,Direct,Apprehension,Exclamatory,Biclausal,,Biclausal,,,,,,,,,,,,,,,Negation,Negation,,
657,VP-Inf ― всё равно что VP-Inf,курить в школе ― всё равно что заставлять детей курить,,Characteristics,Similarity,Sameness,,,Part,,,,,,,,,,Part,,,,,,,,,,
658,VP-Inf ― не для NP-Gen,курить ― не для Ивана,,Characteristics,Attitude,,Categorisation,Assertive,Clause,Clause,,,,,,,,,,,,,,,,,,,
659,VP-Inf (NP-Dat) негде,В такой квартире даже развернуться негде.,,Activity,Non-existence,Location,,,Praedic,,,,Praedic,,,,,,,,,,,,,Negation,Negation,,
660,VP-Inf во что бы то ни стало,закончить книгу во что бы то ни стало,ADD: Condition?,Activity,Intensity,,,,Adv,,,,,,,Adv,,,,,,,,,,Negation,Negation,,
661,"VP-Past бы ,Cl бы","Бросил бы ее тогда, ничего бы не случилось",,Activity,Condition,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,,,,,,,,
662,VP-Past-таки!,пришёл-таки!,COMPARE TO 624,Activity,Unexpected outcome,,,,Part,,,,,,,,,,Part,,,,,,,,,,
663,"VP-Past, и вот, пожалуйста","пришел в банк, и вот, пожалуйста - закрыто!",,Discourse,Attitude,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
664,VP-Perf в два счёта,договориться в два счёта,,Activity,Manner,,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
665,"VP-Pres.2.Sing не V-Pres.2.Sing, а Cl","Хочешь не хочешь, а встанем рано утром","similar to 667, 668",Activity,Concession,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,Reduplication,,Reduplication,
666,"VP, небось","устаешь после работы, небось",,Discourse,Degree of certainty,,,,Parenth,,,,,Parenth,,,,,,,,,,,,Negation,Negation,,
667,XP не XP (а) Cl,"Хочешь не хочешь, а пойдешь",the same as 668?,Activity,Concession,,Condition,Assertive,Clause,Clause,,,,,,,,,,,,,,,,Reduplication,,Reduplication,
668,XP не XP Cl,"Пойдет, не пойдет, мне безразлично",the same as 667?,Activity,Concession,,Condition,Assertive,Clause,Clause,,,,,,,,,,,,,,,,Reduplication,,Reduplication,
669,XP ни-ни,пить ни-ни,,Activity,Prohibition,,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,Reduplication and Negation ,Negation,Reduplication,
670,XP ничего,Ужин получился ничего,,Characteristics,Assessment,Positive,,,Adv,,,,,,,Adv,,,,,,,,,,Negation,Negation,,
671,XP так XP,суп так суп,We should distinguish from for example гулять так гулять. НАстоящая формула не позволяет пока разделить два этих случая. ,Characteristics / Activity,Attitude,,Concession,Assertive,Clause,Clause,,,,,,,,,,,,,,,,Reduplication,,Reduplication,
672,XP Conj в то же время XP,Её голос был прекрасен и в то же время невыносим,,Characteristics,Assessment,,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
