,,,,SEMANTICS,SEMANTICS,SEMANTICS,SEMANTICS,INTONATION (?),SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,SYNTAX,,,,STRUCTURAL PROPERTIES,STRUCTURAL PROPERTIES,STRUCTURAL PROPERTIES,STRUCTURAL PROPERTIES
116,долой NP-Acc!,долой демократию!,,Activity,Prohibition,,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
117,другой NP-Nom.Sing,Это другое дело,,Characteristics,Assessment,,,,Adj,,,,,,Adj,,,,,,,,,,,,,,
118,едва (ли) не ХP,актёр едва ли не упал перед зрителями,,Characteristics / Activity,Intensity,,,,Adv,,,,,,,Adv,,,,,,,,,,Negation,Negation,,
119,едва ли VP,едва ли Паша заплатит,,Discourse,Degree of certainty,,,Assertive,Clause,Clause,,,,,,,,,,,,,,,,,,,
120,едва не VP-Past,Иван Иванович едва не умер после такого розыгрыша,means не умер,Activity,Antiresultative,,,,Adv,,,,,,,Adv,,,,,,,,,,Negation,Negation,,
121,еле VP,еле ходит,,Activity,Intensity,Low,,,Adv,,,,,,,Adv,,,,,,,,,,,,,
122,ещё (и) Cl!,ещё и учительница называется,,Characteristics,Assessment,Negative,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
123,ещё бы Cl,Ещё бы ты был недоволен!,,Discourse,Reaction to the previous discourse,,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
124,ещё Adv/Adj-ее,он стал выглядеть ещё хуже,"Может быть, старвнительную степень надо обозначить -Comp? (см. конструкцию 146 	как_можно_Adv-Cmp/Adj-Cmp_VP)",Characteristics,Comparison,,Intensity,,Adv,,,,,,,Adv,,,,,,,,,,,,,
125,ещё VP-Fut,ещё побьют!,,Activity,Apprehension,,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
126,за кого NP-Nom NP-Acc принимать? S,за кого он меня принимает? Я никогда не списываю,,Characteristics,Similarity,,,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
127,за NP-Acc VP,мать за дочь сделала домашнее задание,,Subject,Subject switch,,,,Prep,,,,,,,,,Prep,,,,,,,,,,,
128,за Num-Acc (NP-Gen.Plur),набралось за сотню желающих,,Characteristics,Measure,,Approximation,,Adv,,,,,,,Adv,,,,,,,,,,,,,
129,за Num-Acc рублей,За пять рублей,,Characteristics,Measure,Money,,,Nominal pattern,,,,,,,,,,,,,Nominal pattern,,,,,,,
130,зайти VP-Inf.Perf,Я зашел поговорить,,Activity,Purpose,,Intension,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
131,здоров VP-Inf,здоров врать,,Characteristics,Assessment,,Categorisation,,Praedic,,,,Praedic,,,,,,,,,,,,,,,,
132,знать NP-Gen по NP-Dat,он знал актера по фильмам,,Activity,Source of information,,,,Verb pattern,,,,,,,,,,,Verb pattern,,,,,,,,,
133,из милости VP,Иван из милости забрал к себе кота,,Activity,Cause,,Attitude,,Adv,,,,,,,Adv,,,,,,,,,,,,,
134,из-за NP-Gen,это всё из-за тебя,,Activity,Cause,,,,Prep,,,,,,,,,Prep,,,,,,,,,,,
135,именно VP,именно уехать-то нельзя!,,Discourse,Emphasis,,Exclusivity,,Part,,,,,,,,,,Part,,,,,,,,,,
136,"ишь, какой Adj-Nom","Ишь, какой веселый",,Characteristics,Assessment,Negative,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
137,"к ужасу/счастью NP-Gen, Cl","к счастью мамы, все пришли домой рано",,Discourse,Attitude,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
138,к чему Cl,к чему такая спешка?,,Activity,Cause,,,Interrogative,Clause,Clause,,,,,,,,,,,,,,,,,,,
139,"каждый раз VP, (когда Cl)","каждый раз улыбаюсь, когда вижу её",Поиск конструкцию не выдает!,Activity,Time,,Condition,Assertive,Biclausal,,Biclausal,,,,,,,,,,,,,,,,,,
140,как всегда XP,"Вы прекрасны, как всегда.",Поиск конструкцию не выдает!,Discourse,Time,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
141,как известно Cl,"как известно, он мастер стихи сочинять",Поиск конструкцию не выдает! Выдает при поиске на слово известно.,Discourse,Source of information,,,,Parenth,,,,,Parenth,,,,,,,,,,,,,,,
142,как (NP-Dat) не Adv VP-Inf,как не стыдно ходить в грязной одежде!,,Characteristics,Assessment,Negative,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
143,как будто Cl,как будто появилась молния,может быть не только Cl (но и Adv/Adj/NP).,Characteristics,Comparison,Hidden comparison,,,Conj / Adv,Clause,,,,,,Adv,Conj,,,,,,,,,,,,
144,как бы не VP-Inf!,как бы не упасть!,,Activity,Apprehension,,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
145,как бы ни VP-Past Cl,"Как бы ни хотелось спать, но пришлось идти на работу",,Activity,Concession,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,,,,,Negation,Negation,,
146,как можно Adv-Cmp/Adj-Cmp VP,нужно нам нужно приехать как можно скорее,соединить с 628,Characteristics,Intensity,High,Comparison,,Adv,,,,,,,Adv,,,,,,,,,,,,,
147,как насчёт XP?,как насчёт выпить?,,Activity,Causation,Indirect,Wish,Interrogative,Clause,Clause,,,,,,,,,,,,,,,,,,,
148,как начать VP-Inf!,А он как начал кричать!,,Activity,Inceptive,,,Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,,,,
149,как не VP-Inf!,как не знать!,"Equals Yes. Дефиницию надо бы переписать, улучшить и уточнить.",Discourse,Reaction to the previous discourse,,,Interrogative / Exclamatory,Clause,Clause,,,,,,,,,,,,,,,,Negation,Negation,,
150,как нельзя Adj-Cmp VP,как нельзя лучше отстирал жирные пятна,,Characteristics,Intensity,High,Comparison,,Adv,,,,,,,Adv,,,,,,,,,,Negation,Negation,,
151,как ни VP Cl,"как ни старался, экзамен сдать не смог",,Activity,Concession,,,Assertive,Biclausal,,Biclausal,,,,,,,,,,,,,,,Negation,Negation,,
